shot_id,section,beat_cue,scene_cn,image_prompt_en,shot_type,motion_hint
1,Intro,0:00-0:30,死神在浓雾中缓缓登场,"Wide cinematic shot, a towering Grim Reaper silhouette emerging from thick dark fog, hooded skeletal figure with glowing eyes, tattered black cloak flowing like smoke, embers floating, crimson and molten orange glow against deep black, surreal horror, cinematic horror, hyper-detailed, 16:9",WS,slow tilt up revealing full figure
2,Intro,0:30-1:00,死神兜帽下双眼点燃,"Extreme close-up of the Grim Reaper's hood, two eyes slowly igniting in the darkness, faint smoke drifting, hell reflected in the molten orange pupils, crimson glow against pure black, terrifying, cinematic horror, hyper-detailed, 16:9",CU,slow push in as eyes brighten
3,Build,1:00-1:25,骷髅手破土而出,"Skeletal hands erupting from cracked burning ground reaching toward the sky, smoke and embers rising, lava veins in black earth, crimson glow with molten orange accents, cinematic horror, hyper-detailed, 16:9",MS,hands rise slowly from ground
4,Build,1:25-1:40,死神穿行火海,"The Grim Reaper walking slowly through a sea of fire, black cloak trailing flames, silhouette against towering hellfire, abstract surreal scale, crimson and molten orange lighting against black, cinematic horror, hyper-detailed, 16:9",WS,slow side track following figure
5,Drop,1:40-2:10,死神随节奏狂舞(核心),"A skeletal Grim Reaper dancing with rhythmic exaggerated poses, tattered black cloak flowing like liquid smoke, swirling particles and molten orange energy trails, abstract psychedelic background, motion blur, crimson and molten orange glow, cinematic horror, hyper-detailed, 16:9",ABS,sway and dance to beat, slow push in
6,Drop,2:10-2:35,死神DJ打碟特写,"Close-up of the Grim Reaper's bony hands scratching glowing turntables made of bone and fire, sound waves rippling out, sparks flying, dark abstract booth, crimson and molten orange neon glow against black, cinematic horror, hyper-detailed, 16:9",CU,shake slightly to the beat
7,Drop,2:35-3:00,地狱舞池骷髅群嗨,"A demonic nightclub in hell, skeleton crowd raving below, the Grim Reaper DJ on an elevated booth of bones and fire, laser beams and raining embers, chaotic energy, crimson and molten orange neon against black, cinematic horror, hyper-detailed, 16:9",WS,camera shakes to the beat
8,Break,3:00-3:40,灵魂漩涡转场,"Abstract vortex of screaming ghost faces and souls spiraling into darkness, the Grim Reaper at the center, swirling smoke and fire, surreal nightmare, crimson and black with molten orange glow, cinematic horror, hyper-detailed, 16:9",ABS,slow zoom into the center, hypnotic
9,Build,3:40-4:20,死神召唤闪电蓄力,"The Grim Reaper raising both arms summoning crackling energy and lightning from a storming hell sky, glowing eyes, power surging around the body, abstract surreal, crimson and molten orange electric glow against black, cinematic horror, hyper-detailed, 16:9",MS,arms raise, energy builds upward
10,Drop2,4:20-4:45,地狱之翼炸裂展开,"The Grim Reaper spreading massive flaming wings, embers exploding outward, glowing eyes, abstract hell background, dramatic backlight, crimson fire with molten orange accents against black, cinematic horror, hyper-detailed, 16:9",MS,wings snap open, embers burst out
11,Drop2,4:45-5:10,死神挥镰特写,"Dramatic close-up of the Grim Reaper swinging a glowing scythe, sparks and fire trailing the blade, intense glowing eyes, dark abstract background with energy waves, crimson and molten orange lighting against black, motion blur, cinematic horror, hyper-detailed, 16:9",CU,slow arc swing with slight orbit
12,Drop2,5:10-5:40,死神骑火焰机车,"The Grim Reaper riding a flaming demonic motorcycle through a dark tunnel of fire, motion blur, speed lines, sparks trailing, abstract phonk aesthetic, crimson and molten orange neon glow against black, cinematic horror, hyper-detailed, 16:9",POV,fast forward rush, speed lines
13,Break,5:40-6:10,漂浮头骨阵列,"An endless wall of floating screaming skulls receding into darkness, faint molten orange glow in the eye sockets, drifting smoke, abstract surreal, crimson and molten orange lighting against black, eerie, cinematic horror, hyper-detailed, 16:9",ABS,slow drift backward through skulls
14,Break,6:10-6:30,死神面对巨型倒计时钟,"The Grim Reaper standing before a giant cracked glowing clock, sand and ash falling, abstract surreal hell, dramatic lighting, crimson dominant with molten orange glow against black, cinematic horror, hyper-detailed, 16:9",MS,slow push in toward the clock
15,Build,6:30-7:00,死神破碎重组,"The Grim Reaper shattering into thousands of glowing particles and ash then reforming, abstract dispersion effect, dark void background, crimson and molten orange glow against black, surreal, cinematic horror, hyper-detailed, 16:9",ABS,particle dispersion then reform
16,Drop2,7:00-7:25,抽象骷髅群舞(核心),"Surreal scene of multiple glowing skeletons dancing in sync, abstract geometric hell dimension, floating skulls and fire, kaleidoscopic symmetry, crimson dominant with molten orange accents against black, trippy horror, cinematic horror, hyper-detailed, 16:9",ABS,synced dance, kaleidoscope morph
17,Drop2,7:25-7:50,双死神镜像对舞(核心),"Two mirrored Grim Reapers dancing symmetrically face to face, black cloaks flowing like smoke, molten orange energy trails connecting them, abstract surreal background, crimson and molten orange glow against black, dramatic lighting, cinematic horror, hyper-detailed, 16:9",ABS,mirrored sway, slow orbit
18,Drop2,7:50-8:15,万花筒死神,"Kaleidoscopic symmetrical pattern of multiplied Grim Reaper figures and skulls, trippy psychedelic hell mandala, swirling fire and particles, crimson dominant with molten orange accents against black, surreal abstract, cinematic horror, hyper-detailed, 16:9",ABS,rotate and bloom kaleidoscope
19,Drop2,8:15-8:30,灵魂锁链缠绕,"Glowing chains of tormented souls swirling around the Grim Reaper, ghostly faces pulled through smoke, abstract surreal hell, crimson and molten orange glow against black, cinematic horror, hyper-detailed, 16:9",MS,chains swirl and tighten, slow orbit
20,Outro,8:30-9:00,死神登上白骨王座,"The Grim Reaper sitting on a towering throne of skulls and bones, fire burning behind, glowing eyes, scythe resting beside, abstract epic hell hall, crimson and molten orange lighting against black, cinematic horror, hyper-detailed, 16:9",WS,slow majestic push in
21,Outro,9:00-9:30,巨型死神俯视废城,"A colossal Grim Reaper looming over a burning ruined city, glowing eyes, scythe in hand, apocalyptic sky, abstract surreal scale, crimson dominant with molten orange glow against black, cinematic horror, hyper-detailed, 16:9",WS,slow aerial pull back
22,Outro,9:30-10:00,终场大爆炸,"The Grim Reaper raising both arms as everything erupts in a massive explosion of fire embers and energy, skeleton crowd below, abstract chaotic finale, crimson and molten orange blast against black, epic cinematic horror, hyper-detailed, 16:9",WS,explosion burst, camera shake then fade
